id,published_date,company,order_type,provisions,product,title,url,pdf_url,fiscal_year
"047140","2026-08-06","「SNOW」と称するアプリケーションの利用サービスの提供事業者2社","措置命令","第5条第3号(ステルスマーケティング告示) / 第7条第1項","SNOW","「SNOW」と称するアプリケーションの利用サービスの提供事業者2社に対する景品表示法に基づく措置命令について","https://www.caa.go.jp/notice/entry/047140/","","2026"
"046721","2026-06-29","高光製薬株式会社","措置命令","第5条第3号(ステルスマーケティング告示) / 第7条第1項","ノビルン","高光製薬株式会社に対する景品表示法に基づく措置命令について","https://www.caa.go.jp/notice/entry/046721/","","2026"
"046565","2026-06-11","株式会社ゲオストア","措置命令","第5条第2号(有利誤認) / 第7条第1項","","株式会社ゲオストアに対する景品表示法に基づく措置命令について","https://www.caa.go.jp/notice/entry/046565/","","2026"
"046006","2026-04-28","尿失禁対策用の下着販売事業者2社","措置命令","第5条第1号(優良誤認) / 第7条第1項","","尿失禁対策用の下着販売事業者2社に対する景品表示法に基づく措置命令について","https://www.caa.go.jp/notice/entry/046006/","","2026"
"045622","2026-03-26","エステティックサロンの運営事業者3社","措置命令","第5条第2号(有利誤認) / 第7条第1項","","エステティックサロンの運営事業者3社に対する景品表示法に基づく措置命令について","https://www.caa.go.jp/notice/entry/045622/","","2025"
"045384","2026-03-17","太陽光発電システム機器等の販売施工業者4社","課徴金納付命令","第8条第1項","","太陽光発電システム機器等の販売施工業者4社に対する景品表示法に基づく課徴金納付命令について","https://www.caa.go.jp/notice/entry/045384/","","2025"
"045439","2026-03-12","エクスコムグローバル株式会社","課徴金納付命令","第8条第1項","イモトのWiFi","エクスコムグローバル株式会社に対する景品表示法に基づく課徴金納付命令について","https://www.caa.go.jp/notice/entry/045439/","","2025"
"045084","2026-02-17","株式会社くまのみ","課徴金納付命令","第7条第1項 / 第8条第1項","プレミアムボディバランス(Premium Body Balance)","株式会社くまのみに対する景品表示法に基づく課徴金納付命令について","https://www.caa.go.jp/notice/entry/045084/","","2025"
"044528","2025-12-18","SB C&S株式会社","措置命令","第5条第1号(優良誤認) / 第7条第1項","","SB C&S株式会社に対する景品表示法に基づく措置命令について","https://www.caa.go.jp/notice/entry/044528/","","2025"
"044166","2025-12-02","株式会社エムアンドエム","課徴金納付命令","第7条第1項 / 第8条第1項","アンリンクル","株式会社エムアンドエムに対する景品表示法に基づく課徴金納付命令について","https://www.caa.go.jp/notice/entry/044166/","","2025"
"044261","2025-11-28","株式会社ツルハグループマーチャンダイジング","措置命令","第5条第2号(有利誤認) / 第7条第1項","","株式会社ツルハグループマーチャンダイジングに対する景品表示法に基づく措置命令について","https://www.caa.go.jp/notice/entry/044261/","","2025"
"044025","2025-11-05","株式会社アイリスプラザ及び株式会社ダイユーエイト","措置命令","第5条第3号(商品の原産国に関する不当な表示第2項) / 第7条第1項","","株式会社アイリスプラザ及び株式会社ダイユーエイトに対する景品表示法に基づく措置命令について","https://www.caa.go.jp/notice/entry/044025/","","2025"
"043914","2025-10-17","株式会社NOVAランゲージカンパニー","措置命令","第5条第2号(有利誤認) / 第7条第1項","NOVA","株式会社NOVAランゲージカンパニーに対する景品表示法に基づく措置命令について","https://www.caa.go.jp/notice/entry/043914/","","2025"
"043867","2025-10-15","株式会社テレビ新広島","措置命令","第5条第1号(優良誤認) / 第7条第1項","ひろしまラーメンスタジアム2024","株式会社テレビ新広島に対する景品表示法に基づく措置命令について","https://www.caa.go.jp/notice/entry/043867/","","2025"
"043788","2025-10-10","LH株式会社","措置命令","第5条第2号(有利誤認) / 第7条第1項","出張カキ小屋 牡蠣奉行","LH株式会社に対する景品表示法に基づく措置命令について","https://www.caa.go.jp/notice/entry/043788/","","2025"
"043641","2025-09-22","株式会社創建","措置命令","第5条第2号(有利誤認) / 第7条第1項","","株式会社創建に対する景品表示法に基づく措置命令について","https://www.caa.go.jp/notice/entry/043641/","","2025"
"043542","2025-09-12","株式会社ジャパネットたかた","措置命令","第5条第2号(有利誤認) / 第7条第1項","【2025】特大和洋おせち2段重","株式会社ジャパネットたかたに対する景品表示法に基づく措置命令について","https://www.caa.go.jp/notice/entry/043542/","","2025"
"043199","2025-08-01","P&Gジャパン合同会社","措置命令","第5条第1号(優良誤認) / 第7条第1項","ファブリーズ お風呂用防カビ剤","P&Gジャパン合同会社に対する景品表示法に基づく措置命令について","https://www.caa.go.jp/notice/entry/043199/","","2025"
"042845","2025-06-30","株式会社ハハハラボ","課徴金納付命令","第8条第1項","メラット","株式会社ハハハラボに対する景品表示法に基づく課徴金納付命令について","https://www.caa.go.jp/notice/entry/042845/","","2025"
"042622","2025-06-16","株式会社フォレストウェル","課徴金納付命令","第8条第1項","j.air","株式会社フォレストウェルに対する景品表示法に基づく課徴金納付命令について","https://www.caa.go.jp/notice/entry/042622/","","2025"
